========================================================================================================================
SCENARIO DATA TABLE
========================================================================================================================
CONFIGURATION:
  Filter non-negative utility events: True
  Skip missing I-being: True
  Skip missing non-I being: True
  Process only choice 1: True
Total rows: 256
========================================================================================================================

  ID | Orig ID | Severity | Evitability | Causal | Choice |    C+ % |    I+ % | N Events | Condition
------------------------------------------------------------------------------------------------------------------------
   1 |       0 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        4 | cc_evitable_action_yes_stories
   2 |       2 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        2 | cc_evitable_action_yes_stories
   3 |       3 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        3 | cc_evitable_action_yes_stories
   4 |       4 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        2 | cc_evitable_action_yes_stories
   5 |       5 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        3 | cc_evitable_action_yes_stories
   6 |       6 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        3 | cc_evitable_action_yes_stories
   7 |       7 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        2 | cc_evitable_action_yes_stories
   8 |      10 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        2 | cc_evitable_action_yes_stories
   9 |      12 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        4 | cc_evitable_action_yes_stories
  10 |      14 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        4 | cc_evitable_action_yes_stories
  11 |      15 |     Mild |    Evitable |     CC |      1 |  100.00 |   66.67 |        3 | cc_evitable_action_yes_stories
  12 |      16 |     Mild |    Evitable |     CC |      1 |  100.00 |   50.00 |        2 | cc_evitable_action_yes_stories
  13 |      17 |     Mild |    Evitable |     CC |      1 |  100.00 |   66.67 |        3 | cc_evitable_action_yes_stories
  14 |      18 |     Mild |    Evitable |     CC |      1 |  100.00 |   50.00 |        2 | cc_evitable_action_yes_stories
  15 |      19 |     Mild |    Evitable |     CC |      1 |  100.00 |   50.00 |        2 | cc_evitable_action_yes_stories
  16 |      20 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        2 | cc_evitable_action_yes_stories
  17 |      22 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        4 | cc_evitable_action_yes_stories
  18 |      23 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        5 | cc_evitable_action_yes_stories
  19 |      24 |     Mild |    Evitable |     CC |      1 |  100.00 |   50.00 |        2 | cc_evitable_action_yes_stories
  20 |      25 |     Mild |    Evitable |     CC |      1 |  100.00 |   50.00 |        2 | cc_evitable_action_yes_stories
  21 |      26 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        8 | cc_evitable_action_yes_stories
  22 |      27 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        3 | cc_evitable_action_yes_stories
  23 |      28 |     Mild |    Evitable |     CC |      1 |  100.00 |   50.00 |        2 | cc_evitable_action_yes_stories
  24 |      29 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        4 | cc_evitable_action_yes_stories
  25 |       0 |     Mild |    Evitable |     CC |      1 |  100.00 |   66.67 |        3 | cc_evitable_prevention_no_stories
  26 |       1 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        5 | cc_evitable_prevention_no_stories
  27 |       2 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        3 | cc_evitable_prevention_no_stories
  28 |       5 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        7 | cc_evitable_prevention_no_stories
  29 |       6 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        4 | cc_evitable_prevention_no_stories
  30 |       8 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        2 | cc_evitable_prevention_no_stories
  31 |       9 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        4 | cc_evitable_prevention_no_stories
  32 |      11 |     Mild |    Evitable |     CC |      1 |  100.00 |   75.00 |        4 | cc_evitable_prevention_no_stories
  33 |      12 |     Mild |    Evitable |     CC |      1 |  100.00 |   80.00 |        5 | cc_evitable_prevention_no_stories
  34 |      13 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        5 | cc_evitable_prevention_no_stories
  35 |      14 |     Mild |    Evitable |     CC |      1 |  100.00 |   66.67 |        6 | cc_evitable_prevention_no_stories
  36 |      16 |     Mild |    Evitable |     CC |      1 |  100.00 |   50.00 |        4 | cc_evitable_prevention_no_stories
  37 |      18 |     Mild |    Evitable |     CC |      1 |  100.00 |    0.00 |        1 | cc_evitable_prevention_no_stories
  38 |      19 |     Mild |    Evitable |     CC |      1 |   50.00 |    0.00 |        2 | cc_evitable_prevention_no_stories
  39 |      20 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        3 | cc_evitable_prevention_no_stories
  40 |      21 |     Mild |    Evitable |     CC |      1 |  100.00 |   80.00 |        5 | cc_evitable_prevention_no_stories
  41 |      24 |     Mild |    Evitable |     CC |      1 |  100.00 |    0.00 |        1 | cc_evitable_prevention_no_stories
  42 |      28 |     Mild |    Evitable |     CC |      1 |  100.00 |  100.00 |        3 | cc_evitable_prevention_no_stories
  43 |      29 |     Mild |    Evitable |     CC |      1 |  100.00 |    0.00 |        1 | cc_evitable_prevention_no_stories
  44 |       0 |     Mild |  Inevitable |     CC |      1 |   25.00 |   50.00 |        4 | cc_inevitable_action_yes_stories
  45 |       2 |     Mild |  Inevitable |     CC |      1 |    0.00 |   50.00 |        2 | cc_inevitable_action_yes_stories
  46 |       3 |     Mild |  Inevitable |     CC |      1 |    0.00 |    0.00 |        2 | cc_inevitable_action_yes_stories
  47 |       4 |     Mild |  Inevitable |     CC |      1 |   33.33 |  100.00 |        3 | cc_inevitable_action_yes_stories
