event,lcu
Death of a spouse,100
Divorce,73
Marital separation,65
Imprisonment,63
Death of a close family member,63
Personal injury or illness,53
Marriage,50
Dismissal from work,47
Marital reconciliation,45
Retirement,45
Change in the health of a family member,44
Pregnancy,40
Sexual difficulties,39
Gaining a new family member,39
Business readjustment,39
Change in financial state,38
Death of a close friend,37
Change to a different line of work,36
Change in frequency of arguments with spouse,35
Taking on a major mortgage,32
Foreclosure of a mortgage or loan,30
Change in responsibilities at work,29
Child leaving home,29
Trouble with in-laws,29
Outstanding personal achievement,28
Spouse starting or stopping work,26
Beginning or ending school,26
Change in living conditions,25
Revision of personal habits,24
Trouble with one's boss,23
Change in working hours or conditions,20
Change in residence,20
Changing to a new school,20
Change in recreation,19
Change in church activities,19
Change in social activities,18
Taking on a minor mortgage or loan,17
Change in sleeping habits,16
Change in number of family reunions,15
Change in eating habits,15
Going on vacation,13
Christmas,12
Minor violation of the law,11
